Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Material Type]	Term Source REF	Term Accession Number	Characteristics[Study Subject]	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Factor Value[Time]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number
TGB_051_03	TGB_051_03	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Plasma	MESH	http://purl.bioontology.org/ontology/MESH/D010949	3	pre-flight			L-56(±14d)	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	EDTA-plasma separate gel collection tubes	GLDS	https://genelab-data.ndc.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
TGB_051_04	TGB_051_04	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Plasma	MESH	http://purl.bioontology.org/ontology/MESH/D010949	3	in-flight			L+5(±1d)	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	EDTA-plasma separate gel collection tubes	GLDS	https://genelab-data.ndc.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
TGB_051_05	TGB_051_05	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Plasma	MESH	http://purl.bioontology.org/ontology/MESH/D010949	3	in-flight			L+30(±7d)	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	EDTA-plasma separate gel collection tubes	GLDS	https://genelab-data.ndc.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
TGB_051_06	TGB_051_06	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Plasma	MESH	http://purl.bioontology.org/ontology/MESH/D010949	3	in-flight			L+60(±14d)	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	EDTA-plasma separate gel collection tubes	GLDS	https://genelab-data.ndc.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
TGB_051_07	TGB_051_07	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Plasma	MESH	http://purl.bioontology.org/ontology/MESH/D010949	3	in-flight			L+120(±14d) or R-8(-14d)	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	EDTA-plasma separate gel collection tubes	GLDS	https://genelab-data.ndc.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
TGB_051_08	TGB_051_08	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Plasma	MESH	http://purl.bioontology.org/ontology/MESH/D010949	3	post-flight			R+3(±1d)	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	EDTA-plasma separate gel collection tubes	GLDS	https://genelab-data.ndc.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
TGB_051_09	TGB_051_09	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Plasma	MESH	http://purl.bioontology.org/ontology/MESH/D010949	3	post-flight			R+30(±7d)	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	EDTA-plasma separate gel collection tubes	GLDS	https://genelab-data.ndc.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
TGB_051_10	TGB_051_10	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Plasma	MESH	http://purl.bioontology.org/ontology/MESH/D010949	3	post-flight			R+60(±14d)	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	EDTA-plasma separate gel collection tubes	GLDS	https://genelab-data.ndc.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
TGB_051_13	TGB_051_13	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Plasma	MESH	http://purl.bioontology.org/ontology/MESH/D010949	4	pre-flight			L-168(±14d)	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	EDTA-plasma separate gel collection tubes	GLDS	https://genelab-data.ndc.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
TGB_051_14	TGB_051_14	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Plasma	MESH	http://purl.bioontology.org/ontology/MESH/D010949	4	pre-flight			L-112(±14d)	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	EDTA-plasma separate gel collection tubes	GLDS	https://genelab-data.ndc.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
TGB_051_15	TGB_051_15	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Plasma	MESH	http://purl.bioontology.org/ontology/MESH/D010949	4	pre-flight			L-56(±14d)	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	EDTA-plasma separate gel collection tubes	GLDS	https://genelab-data.ndc.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
TGB_051_16	TGB_051_16	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Plasma	MESH	http://purl.bioontology.org/ontology/MESH/D010949	4	in-flight			L+5(±1d)	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	EDTA-plasma separate gel collection tubes	GLDS	https://genelab-data.ndc.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
TGB_051_17	TGB_051_17	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Plasma	MESH	http://purl.bioontology.org/ontology/MESH/D010949	4	in-flight			L+30(±7d)	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	EDTA-plasma separate gel collection tubes	GLDS	https://genelab-data.ndc.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
TGB_051_18	TGB_051_18	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Plasma	MESH	http://purl.bioontology.org/ontology/MESH/D010949	4	in-flight			L+60(±14d)	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	EDTA-plasma separate gel collection tubes	GLDS	https://genelab-data.ndc.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
TGB_051_19	TGB_051_19	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Plasma	MESH	http://purl.bioontology.org/ontology/MESH/D010949	4	in-flight			L+120(±14d) or R-8(-14d)	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	EDTA-plasma separate gel collection tubes	GLDS	https://genelab-data.ndc.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
